Ticker,date,open,high,low,close,volume
bitcoin,2024-04-25,63980,64789,62924,64625,30939903322.025898
bitcoin,2024-04-24,66467,67058,63813,64236,23232230785.201836
bitcoin,2024-04-23,66567,67208,65889,66482,27748586313.206108
bitcoin,2024-04-22,64561,66795,64475,66399,19592118541.18973
bitcoin,2024-04-21,64936,65674,64365,64760,16601830590.687477
bitcoin,2024-04-20,64349,65377,63162,64834,52227787323.81757
bitcoin,2024-04-19,63517,65416,60022,64308,35901618166.42319
bitcoin,2024-04-18,61531,63641,61049,63118,41123362075.9353
bitcoin,2024-04-17,64008,64239,60182,61470,42157169474.3952
bitcoin,2024-04-16,63153,63560,61922,62991,42796604938.0342
bitcoin,2024-04-15,65524,66650,63190,63190,40292911692.9543
bitcoin,2024-04-14,64319,64706,63093,64425,49214481480.2008
bitcoin,2024-04-13,67081,67681,65981,67214,43471949726.092
bitcoin,2024-04-12,70311,71120,66576,66576,30118549149.5105
bitcoin,2024-04-11,70523,71038,69751,70028,38378062633.1314
bitcoin,2024-04-10,68997,69473,67917,69236,36488482038.8591
bitcoin,2024-04-09,71629,71629,68601,68888,33111949671.021
bitcoin,2024-04-08,69321,72325,69198,71891,17935478429.0102
bitcoin,2024-04-07,68988,70046,68982,69411,19119438138.8508
bitcoin,2024-04-06,67830,68324,67687,68324,35132808695.8045
bitcoin,2024-04-05,68679,68679,66485,67839,37516850709.6381
bitcoin,2024-04-04,66104,69199,65537,68629,35559952961.7973
bitcoin,2024-04-03,65534,66605,65362,66044,45161133992.0907
bitcoin,2024-04-02,65576,65867,65529,65867,36040088988.5387
bitcoin,2024-04-01,71230,71230,68369,68985,19723005998.215
bitcoin,2024-03-31,69622,70756,69622,70756,16408802301.8374
bitcoin,2024-03-30,69879,70343,69877,69888,25785951735.4857
bitcoin,2024-03-29,70744,70817,69201,69496,30455289338.4762
bitcoin,2024-03-28,69491,71552,69080,70634,41441040887.8223
bitcoin,2024-03-27,70560,70588,68513,68513,36257324508.5685
bitcoin,2024-03-26,69876,71123,69876,70013,44820310272.6475
bitcoin,2024-03-25,66587,70790,66560,70790,28098318940.4317
bitcoin,2024-03-24,64554,65932,64009,65932,25489933245.6876
bitcoin,2024-03-23,65063,65689,65063,65371,42436600223.5374
bitcoin,2024-03-22,63560,63741,63560,63741,48393664548.0534
bitcoin,2024-03-21,62133,67690,61494,67583,70836803714.9141
bitcoin,2024-03-20,67709,67709,62373,62373,80179417876.4799
bitcoin,2024-03-19,68274,68643,66858,67839,51101822566.7577
bitcoin,2024-03-18,66008,68526,64999,68209,47190980586.563904
bitcoin,2024-03-17,69441,69752,65934,66305,49265436012.5923
bitcoin,2024-03-16,71385,71867,67048,68861,81204427005.226
bitcoin,2024-03-15,73091,73581,69359,71456,63073551321.7475
bitcoin,2024-03-14,71444,73439,71418,72985,51906601043.5367
bitcoin,2024-03-13,72131,72413,70572,71109,64599341551.273
bitcoin,2024-03-12,69076,72563,68200,72497,66653067165.9346
bitcoin,2024-03-11,68484,69935,68470,68470,36660543917.162
bitcoin,2024-03-10,68315,68641,68065,68497,21359706190.8152
bitcoin,2024-03-09,66949,69230,66949,68521,63346588227.3287
bitcoin,2024-03-08,66090,67867,65784,67182,48853892626.0196
bitcoin,2024-03-07,64292,67277,62933,66070,73151905042.0407
bitcoin,2024-03-06,68340,68762,60861,63187,96403762012.6606
bitcoin,2024-03-05,63053,67979,63053,67979,74551714626.1156
bitcoin,2024-03-04,62068,62870,61643,62754,27108369390.4435
bitcoin,2024-03-03,62418,62418,61825,61856,25198213831.2524
bitcoin,2024-03-02,61201,63136,60925,62481,36699193361.1554
bitcoin,2024-03-01,62519,62946,60585,61255,67692687247.3639
bitcoin,2024-02-29,57004,62497,56858,61348,87218855804.0162
bitcoin,2024-02-28,54478,57443,54478,56918,51983799587.1939
bitcoin,2024-02-27,51725,54685,50927,54675,35407941475.5679
bitcoin,2024-02-26,51553,51774,51406,51702,15455098216.4826
bitcoin,2024-02-25,50841,51697,50608,51574,15528276123.5367
bitcoin,2024-02-24,51320,51445,50773,50773,22637679779.741
bitcoin,2024-02-23,51843,51965,51149,51462,23733644208.8086
bitcoin,2024-02-22,52287,52287,50881,51516,30624246621.0974
bitcoin,2024-02-21,51784,52814,51281,52287,34499627551.3193
bitcoin,2024-02-20,52117,52413,51777,51967,22555121071.5591
bitcoin,2024-02-19,51657,52180,51242,52180,17025880430.5659
bitcoin,2024-02-18,52166,52166,50906,51696,19851884283.1572
bitcoin,2024-02-17,51941,52357,51738,52002,24850432117.8966
bitcoin,2024-02-16,51821,52661,51595,51720,31991869491.0567
bitcoin,2024-02-15,49732,51937,49397,51835,41805076939.809
